,site,site.int,pass,pass.int,location,loc.int,site.index,propPO,habitat,date2,date.int,month,tail_loss,bcres,tailbin
1,A,1,1,1,all,1,1,1,CO,1_1,1,6,N,-0.47570784,0
2,A,1,1,1,all,1,1,1,CO,1_1,1,6,N,-0.258355652,0
3,A,1,1,1,all,1,1,1,CO,1_1,1,6,N,-0.214851435,0
4,A,1,1,1,all,1,1,1,CO,1_1,1,6,N,-0.213885227,0
5,A,1,1,1,all,1,1,1,CO,1_1,1,6,N,-0.179293265,0
6,A,1,1,1,all,1,1,1,CO,1_1,1,6,N,-0.134133185,0
7,A,1,1,1,all,1,1,1,CO,1_1,1,6,N,-0.128464757,0
8,A,1,1,1,all,1,1,1,CO,1_1,1,6,N,-0.115829702,0
9,A,1,1,1,all,1,1,1,CO,1_1,1,6,N,-0.082218895,0
10,A,1,1,1,all,1,1,1,CO,1_1,1,6,N,-0.024703965,0
11,A,1,1,1,all,1,1,1,CO,1_1,1,6,N,0.037071001,0
12,A,1,1,1,all,1,1,1,CO,1_1,1,6,N,0.045771503,0
13,A,1,1,1,all,1,1,1,CO,1_1,1,6,N,0.087674644,0
14,A,1,1,1,dominant,2,2,0.97,CO,1_3,2,6,N,-0.394764953,0
15,A,1,1,1,dominant,2,2,0.97,CO,1_3,2,6,N,-0.371877801,0
16,A,1,1,1,dominant,2,2,0.97,CO,1_3,2,6,N,-0.224699941,0
17,A,1,1,1,dominant,2,2,0.97,LL,1_3,2,6,N,-0.081330666,0
18,A,1,1,1,dominant,2,2,0.97,LL,1_3,2,6,N,-0.057036518,0
19,A,1,1,1,dominant,2,2,0.97,CO,1_3,2,6,N,-0.04620525,0
20,A,1,1,1,dominant,2,2,0.97,CO,1_3,2,6,N,0.003252094,0
21,A,1,1,1,dominant,2,2,0.97,CO,1_3,2,6,N,0.06209846,0
22,A,1,1,1,dominant,2,2,0.97,CO,1_3,2,6,N,0.181243304,0
23,A,1,1,1,dominant,2,2,0.97,CO,1_3,2,6,N,0.287559566,0
24,A,1,1,1,even,3,3,0.41,CO,1_4,3,6,N,-0.076456763,0
25,A,1,1,1,even,3,3,0.41,LL,1_4,3,6,N,-0.019411102,0
26,A,1,1,1,even,3,3,0.41,CO,1_4,3,6,N,0.078882839,0
27,A,1,1,1,even,3,3,0.41,CO,1_4,3,6,N,0.213534733,0
