site,pass,pass.int,location,site.index,propPO,habitat,date2,species,SVLmean,tail,mass,tail_loss,bcres,loc.int,site.int
A,1,1,all,1,0,CO,1_2,RB,35,40.4,0.9,N,-0.060795153,1,1
A,1,1,all,1,0,CO,1_2,RB,38.3,44.4,1.1,N,-0.025118262,1,1
A,1,1,all,1,0,CO,1_2,RB,38.1,45.5,1.23,N,0.097641985,1,1
A,1,1,all,1,0,CO,1_2,RB,42,46.1,1.45,N,0.176319305,1,1
A,1,1,all,1,0,CO,1_2,RB,45.3,56.1,1.59,N,0.07512603,1,1
A,1,1,all,1,0,CO,1_2,RB,44.5,63.5,1.17,N,-0.412268065,1,1
A,1,1,all,1,0,CO,1_2,RB,33.1,37.5,0.79,Y,-0.087128481,1,1
A,1,1,all,1,0,CO,1_2,RB,41.5,38.1,1.16,Y,-0.012646157,1,1
A,1,1,all,1,0,CO,1_2,RB,35.5,43.3,1.56,Y,0.52632636,1,1
A,1,1,all,1,0,CO,1_2,RB,41,45.5,1.54,Y,0.289680082,1,1
A,1,1,all,1,0,CO,1_2,RB,41.8,50.7,1.67,Y,0.325646826,1,1
A,1,1,dominant,2,0.09,CO,1_5,RB,37.6,32,0.71,N,-0.232267362,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,39.4,36,1.2,N,0.144807862,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,40.4,40.8,1.37,N,0.219046174,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,33.6,43.5,0.75,N,-0.20253963,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,37.2,44,0.98,N,-0.102301474,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,42,46,1.45,N,0.177600475,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,43.5,50.7,1.57,N,0.185987179,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,43.5,52.1,1.52,N,0.118050807,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,42.3,52.2,1.8,N,0.437888303,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,44.8,54.9,1.91,N,0.427632841,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,50.8,57.4,1.98,N,0.260010277,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,29,21.5,0.67,Y,0.138347405,2,1
