location,site,site.index,propPO,date2,pass,pass.int,tail_loss,loc.int,tlbin
all,A,1,0,1_2,1,1,Y,1,1
all,A,1,0,1_2,1,1,Y,1,1
all,A,1,0,1_2,1,1,Y,1,1
all,A,1,0,1_2,1,1,Y,1,1
all,A,1,0,1_2,1,1,N,1,0
all,A,1,0,1_2,1,1,N,1,0
all,A,1,0,1_2,1,1,N,1,0
all,A,1,0,1_2,1,1,N,1,0
all,A,1,0,1_2,1,1,N,1,0
all,A,1,0,1_2,1,1,N,1,0
all,A,1,0,1_2,1,1,Y,1,1
all,A,1,0,7_2,7,6,Y,1,1
all,A,1,0,7_2,7,6,N,1,0
all,A,1,0,7_2,7,6,N,1,0
all,A,1,0,7_2,7,6,N,1,0
all,A,1,0,7_2,7,6,N,1,0
all,A,1,0,7_2,7,6,N,1,0
all,A,1,0,7_2,7,6,N,1,0
all,A,1,0,7_2,7,6,N,1,0
all,A,1,0,7_2,7,6,N,1,0
all,A,1,0,7_2,7,6,N,1,0
all,A,1,0,7_2,7,6,N,1,0
all,A,1,0,7_2,7,6,N,1,0
all,A,1,0,7_2,7,6,N,1,0
all,A,1,0,7_2,7,6,N,1,0
all,A,1,0,7_2,7,6,N,1,0
all,A,1,0,7_2,7,6,N,1,0
all,A,1,0,7_2,7,6,Y,1,1
all,A,1,0,7_2,7,6,N,1,0
all,A,1,0,7_2,7,6,Y,1,1
dominant,A,2,0.092,1_5,1,1,Y,2,1
dominant,A,2,0.092,1_5,1,1,N,2,0
dominant,A,2,0.092,1_5,1,1,N,2,0
dominant,A,2,0.092,1_5,1,1,N,2,0
dominant,A,2,0.092,1_5,1,1,Y,2,1
dominant,A,2,0.092,1_5,1,1,N,2,0
dominant,A,2,0.092,1_5,1,1,N,2,0
dominant,A,2,0.092,1_5,1,1,N,2,0
dominant,A,2,0.092,1_5,1,1,N,2,0
dominant,A,2,0.092,1_5,1,1,N,2,0
dominant,A,2,0.092,1_5,1,1,N,2,0
