site,site.int,pass,pass.int,location,loc.int,site.index,propPO,date2,date.int,sex,stage,stagebin
A,1,1,1,all ,1,1,0,1_2,1,F,A,1
A,1,1,1,all ,1,1,0,1_2,1,M,A,1
A,1,1,1,all ,1,1,0,1_2,1,F,A,1
A,1,1,1,all ,1,1,0,1_2,1,M,A,1
A,1,1,1,all ,1,1,0,1_2,1,F,A,1
A,1,1,1,all ,1,1,0,1_2,1,F,A,1
A,1,1,1,all ,1,1,0,1_2,1,F,A,1
A,1,1,1,all ,1,1,0,1_2,1,M,A,1
A,1,1,1,all ,1,1,0,1_2,1,M,A,1
A,1,1,1,all ,1,1,0,1_2,1,M,A,1
A,1,1,1,all ,1,1,0,1_2,1,M,A,1
A,1,7,6,all ,1,1,0,7_2,23,M,A,1
A,1,7,6,all ,1,1,0,7_2,23,F,A,1
A,1,7,6,all ,1,1,0,7_2,23,M,A,1
A,1,7,6,all ,1,1,0,7_2,23,M,A,1
A,1,7,6,all ,1,1,0,7_2,23,F,A,1
A,1,7,6,all ,1,1,0,7_2,23,M,A,1
A,1,7,6,all ,1,1,0,7_2,23,F,A,1
A,1,7,6,all ,1,1,0,7_2,23,F,A,1
A,1,7,6,all ,1,1,0,7_2,23,F,A,1
A,1,7,6,all ,1,1,0,7_2,23,F,A,1
A,1,7,6,all ,1,1,0,7_2,23,M,A,1
A,1,7,6,all ,1,1,0,7_2,23,M,A,1
A,1,7,6,all ,1,1,0,7_2,23,M,A,1
A,1,7,6,all ,1,1,0,7_2,23,F,A,1
A,1,7,6,all ,1,1,0,7_2,23,M,A,1
A,1,7,6,all ,1,1,0,7_2,23,F,A,1
A,1,7,6,all ,1,1,0,7_2,23,M,A,1
A,1,7,6,all ,1,1,0,7_2,23,M,A,1
A,1,7,6,all ,1,1,0,7_2,23,NA,A,1
A,1,7,6,all ,1,1,0,7_2,23,NA,A,1
A,1,1,1,all ,1,1,0,1_2,1,NA,H,0
A,1,1,1,all ,1,1,0,1_2,1,NA,H,0
A,1,7,6,all ,1,1,0,7_2,23,NA,H,0
A,1,7,6,all ,1,1,0,7_2,23,NA,H,0
A,1,7,6,all ,1,1,0,7_2,23,NA,H,0
A,1,1,1,dominant,2,2,0.092,1_5,3,M,A,1
A,1,1,1,dominant,2,2,0.092,1_5,3,F,A,1
A,1,1,1,dominant,2,2,0.092,1_5,3,F,A,1
A,1,1,1,dominant,2,2,0.092,1_5,3,M,A,1
A,1,1,1,dominant,2,2,0.092,1_5,3,F,A,1
A,1,1,1,dominant,2,2,0.092,1_5,3,M,A,1
A,1,1,1,dominant,2,2,0.092,1_5,3,F,A,1
A,1,1,1,dominant,2,2,0.092,1_5,3,M,A,1
A,1,1,1,dominant,2,2,0.092,1_5,3,M,A,1
A,1,1,1,dominant,2,2,0.092,1_5,3,F,A,1
A,1,1,1,dominant,2,2,0.092,1_5,3,F,A,1
A,1,1,1,dominant,2,2,0.092,1_5,3,M,A,1
A,1,1,1,dominant,2,2,0.092,1_5,3,F,A,1
A,1,1,1,dominant,2,2,0.092,1_5,3,F,A,1
A,1,7,6,dominant,2,2,0.092,7_4,25,F,A,1
A,1,7,6,dominant,2,2,0.092,7_4,25,M,A,1
A,1,7,6,dominant,2,2,0.092,7_4,25,F,A,1
A,1,7,6,dominant,2,2,0.092,7_4,25,M,A,1
A,1,7,6,dominant,2,2,0.092,7_4,25,M,A,1
A,1,7,6,dominant,2,2,0.092,7_4,25,F,A,1
A,1,7,6,dominant,2,2,0.092,7_4,25,M,A,1
A,1,7,6,dominant,2,2,0.092,7_4,25,M,A,1
A,1,7,6,dominant,2,2,0.092,7_4,25,M,A,1
A,1,7,6,dominant,2,2,0.092,7_4,25,F,A,1
A,1,7,6,dominant,2,2,0.092,7_4,25,M,A,1
A,1,7,6,dominant,2,2,0.092,7_4,25,F,A,1
A,1,7,6,dominant,2,2,0.092,7_4,25,M,A,1
A,1,7,6,dominant,2,2,0.092,7_4,25,F,A,1
A,1,7,6,dominant,2,2,0.092,7_4,25,F,A,1
A,1,7,6,dominant,2,2,0.092,7_4,25,F,A,1
A,1,7,6,dominant,2,2,0.092,7_4,25,NA,A,1
A,1,7,6,dominant,2,2,0.092,7_7,26,M,A,1
A,1,7,6,dominant,2,2,0.092,7_7,26,M,A,1
A,1,7,6,dominant,2,2,0.092,7_7,26,F,A,1
A,1,7,6,dominant,2,2,0.092,7_7,26,M,A,1
A,1,7,6,dominant,2,2,0.092,7_7,26,M,A,1
A,1,7,6,dominant,2,2,0.092,7_7,26,F,A,1
A,1,7,6,dominant,2,2,0.092,7_7,26,F,A,1
A,1,7,6,dominant,2,2,0.092,7_7,26,M,A,1
A,1,7,6,dominant,2,2,0.092,7_7,26,M,A,1
A,1,7,6,dominant,2,2,0.092,7_7,26,F,A,1
A,1,1,1,dominant,2,2,0.092,1_5,3,NA,H,0
A,1,1,1,dominant,2,2,0.092,1_5,3,NA,H,0
A,1,1,1,dominant,2,2,0.092,1_5,3,NA,H,0
A,1,7,6,dominant,2,2,0.092,7_4,25,NA,H,0
A,1,7,6,dominant,2,2,0.092,7_4,25,NA,H,0
A,1,7,6,dominant,2,2,0.092,7_4,25,NA,H,0
A,1,7,6,dominant,2,2,0.092,7_4,25,NA,H,0
A,1,7,6,dominant,2,2,0.092,7_4,25,NA,H,0
A,1,7,6,dominant,2,2,0.092,7_7,26,NA,H,0
A,1,7,6,dominant,2,2,0.092,7_7,26,NA,H,0
A,1,7,6,dominant,2,2,0.092,7_7,26,NA,H,0
A,1,1,1,even,3,3,0.41,1_4,2,F,A,1
A,1,1,1,even,3,3,0.41,1_4,2,M,A,1
A,1,1,1,even,3,3,0.41,1_4,2,F,A,1
A,1,1,1,even,3,3,0.41,1_4,2,M,A,1
A,1,1,1,even,3,3,0.41,1_4,2,M,A,1
A,1,1,1,even,3,3,0.41,1_4,2,M,A,1
A,1,1,1,even,3,3,0.41,1_4,2,F,A,1
A,1,1,1,even,3,3,0.41,1_4,2,M,A,1
A,1,1,1,even,3,3,0.41,1_4,2,M,A,1
A,1,1,1,even,3,3,0.41,1_4,2,M,A,1
A,1,1,1,even,3,3,0.41,1_4,2,F,A,1
A,1,1,1,even,3,3,0.41,1_4,2,M,A,1
A,1,1,1,even,3,3,0.41,1_4,2,F,A,1
A,1,1,1,even,3,3,0.41,1_4,2,M,A,1
A,1,1,1,even,3,3,0.41,1_4,2,F,A,1
A,1,1,1,even,3,3,0.41,1_4,2,F,A,1
A,1,7,6,even,3,3,0.41,7_3,24,F,A,1
A,1,7,6,even,3,3,0.41,7_3,24,F,A,1
A,1,7,6,even,3,3,0.41,7_3,24,M,A,1
A,1,7,6,even,3,3,0.41,7_3,24,F,A,1
A,1,7,6,even,3,3,0.41,7_3,24,M,A,1
A,1,7,6,even,3,3,0.41,7_3,24,M,A,1
A,1,7,6,even,3,3,0.41,7_3,24,F,A,1
A,1,7,6,even,3,3,0.41,7_3,24,F,A,1
A,1,7,6,even,3,3,0.41,7_3,24,F,A,1
A,1,7,6,even,3,3,0.41,7_3,24,F,A,1
A,1,7,6,even,3,3,0.41,7_3,24,M,A,1
A,1,7,6,even,3,3,0.41,7_3,24,F,A,1
A,1,7,6,even,3,3,0.41,7_3,24,M,A,1
A,1,7,6,even,3,3,0.41,7_3,24,M,A,1
A,1,7,6,even,3,3,0.41,7_3,24,M,A,1
A,1,7,6,even,3,3,0.41,7_3,24,M,A,1
A,1,7,6,even,3,3,0.41,7_3,24,F,A,1
A,1,7,6,even,3,3,0.41,7_3,24,NA,A,1
A,1,7,6,even,3,3,0.41,7_3,24,NA,A,1
A,1,7,6,even,3,3,0.41,7_3,24,NA,A,1
A,1,1,1,even,3,3,0.41,1_4,2,NA,H,0
A,1,7,6,even,3,3,0.41,7_3,24,NA,H,0
A,1,7,6,even,3,3,0.41,7_3,24,NA,H,0
A,1,7,6,even,3,3,0.41,7_3,24,NA,H,0
A,1,7,6,even,3,3,0.41,7_3,24,NA,H,0
A,1,7,6,rare,4,4,0.98,7_1,22,M,A,1
B,2,9,8,all,1,5,0,9_4,33,F,A,1
