site,site.int,pass,pass.int,location,loc.int,site.index,propPO,date2,date.int,sex,stage,stagebin
A,1,1,1,all ,1,1,1,1_1,1,M,A,0
A,1,1,1,all ,1,1,1,1_1,1,F,A,0
A,1,1,1,all ,1,1,1,1_1,1,F,A,0
A,1,1,1,all ,1,1,1,1_1,1,M,A,0
A,1,1,1,all ,1,1,1,1_1,1,M,A,0
A,1,1,1,all ,1,1,1,1_1,1,F,A,0
A,1,1,1,all ,1,1,1,1_1,1,F,A,0
A,1,1,1,all ,1,1,1,1_1,1,F,A,0
A,1,1,1,all ,1,1,1,1_1,1,M,A,0
A,1,1,1,all ,1,1,1,1_1,1,F,A,0
A,1,1,1,all ,1,1,1,1_1,1,F,A,0
A,1,1,1,all ,1,1,1,1_1,1,F,A,0
A,1,1,1,all ,1,1,1,1_1,1,F,A,0
A,1,7,6,all ,1,1,1,7_6,23,F,A,0
A,1,7,6,all ,1,1,1,7_6,23,F,A,0
A,1,7,6,all ,1,1,1,7_6,23,F,A,0
A,1,7,6,all ,1,1,1,7_6,23,F,A,0
A,1,7,6,all ,1,1,1,7_6,23,F,A,0
A,1,7,6,all ,1,1,1,7_6,23,M,A,0
A,1,7,6,all ,1,1,1,7_6,23,M,A,0
A,1,7,6,all ,1,1,1,7_6,23,F,A,0
A,1,7,6,all ,1,1,1,7_6,23,M,A,0
A,1,7,6,all ,1,1,1,7_6,23,M,A,0
A,1,7,6,all ,1,1,1,7_6,23,F,A,0
A,1,7,6,all ,1,1,1,7_6,23,M,A,0
A,1,7,6,all ,1,1,1,7_6,23,F,A,0
A,1,7,6,all ,1,1,1,7_6,23,M,A,0
A,1,7,6,all ,1,1,1,7_6,23,M,A,0
A,1,7,6,all ,1,1,1,7_6,23,M,A,0
A,1,7,6,all ,1,1,1,7_6,23,F,A,0
A,1,7,6,all ,1,1,1,7_6,23,M,A,0
A,1,7,6,all ,1,1,1,7_6,23,M,A,0
A,1,7,6,all ,1,1,1,7_6,23,F,A,0
A,1,7,6,all ,1,1,1,7_6,23,M,A,0
A,1,7,6,all ,1,1,1,7_6,23,M,A,0
A,1,7,6,all ,1,1,1,7_6,23,M,A,0
A,1,7,6,all ,1,1,1,7_6,23,M,A,0
A,1,7,6,all ,1,1,1,7_6,23,F,A,0
A,1,1,1,all ,1,1,1,1_1,1,NA,H,1
A,1,1,1,all ,1,1,1,1_1,1,NA,H,1
A,1,7,6,all ,1,1,1,7_6,23,NA,H,1
A,1,7,6,all ,1,1,1,7_6,23,NA,H,1
A,1,7,6,all ,1,1,1,7_6,23,NA,H,1
A,1,7,6,all ,1,1,1,7_6,23,NA,H,1
A,1,7,6,all ,1,1,1,7_6,23,NA,H,1
A,1,7,6,all ,1,1,1,7_6,23,NA,H,1
A,1,7,6,all ,1,1,1,7_6,23,NA,H,1
A,1,7,6,all ,1,1,1,7_6,23,NA,H,1
A,1,7,6,all ,1,1,1,7_6,23,NA,H,1
A,1,7,6,all ,1,1,1,7_6,23,NA,H,1
A,1,7,6,all ,1,1,1,7_6,23,NA,H,1
A,1,7,6,all ,1,1,1,7_6,23,NA,H,1
A,1,7,6,all ,1,1,1,7_6,23,NA,H,1
A,1,7,6,all ,1,1,1,7_6,23,NA,H,1
A,1,1,1,dominant,2,2,0.97,1_3,2,F,A,0
A,1,1,1,dominant,2,2,0.97,1_3,2,F,A,0
A,1,1,1,dominant,2,2,0.97,1_3,2,F,A,0
A,1,1,1,dominant,2,2,0.97,1_3,2,F,A,0
A,1,1,1,dominant,2,2,0.97,1_3,2,M,A,0
A,1,1,1,dominant,2,2,0.97,1_3,2,F,A,0
A,1,1,1,dominant,2,2,0.97,1_3,2,F,A,0
A,1,1,1,dominant,2,2,0.97,1_3,2,M,A,0
A,1,1,1,dominant,2,2,0.97,1_3,2,M,A,0
A,1,1,1,dominant,2,2,0.97,1_3,2,NA,A,0
A,1,1,1,dominant,2,2,0.97,1_3,2,F,A,0
A,1,1,1,dominant,2,2,0.97,1_3,2,M,A,0
A,1,1,1,dominant,2,2,0.97,1_3,2,M,A,0
A,1,1,1,dominant,2,2,0.97,1_3,2,M,A,0
A,1,7,6,dominant,2,2,0.97,7_1,19,F,A,0
A,1,7,6,dominant,2,2,0.97,7_1,19,M,A,0
A,1,7,6,dominant,2,2,0.97,7_1,19,F,A,0
A,1,7,6,dominant,2,2,0.97,7_1,19,M,A,0
A,1,7,6,dominant,2,2,0.97,7_1,19,F,A,0
A,1,7,6,dominant,2,2,0.97,7_1,19,M,A,0
A,1,7,6,dominant,2,2,0.97,7_1,19,F,A,0
A,1,7,6,dominant,2,2,0.97,7_1,19,M,A,0
A,1,7,6,dominant,2,2,0.97,7_1,19,M,A,0
A,1,7,6,dominant,2,2,0.97,7_1,19,F,A,0
A,1,7,6,dominant,2,2,0.97,7_1,19,M,A,0
A,1,7,6,dominant,2,2,0.97,7_1,19,F,A,0
A,1,7,6,dominant,2,2,0.97,7_5,22,F,A,0
A,1,7,6,dominant,2,2,0.97,7_5,22,F,A,0
A,1,7,6,dominant,2,2,0.97,7_5,22,F,A,0
A,1,7,6,dominant,2,2,0.97,7_5,22,F,A,0
A,1,7,6,dominant,2,2,0.97,7_5,22,M,A,0
A,1,7,6,dominant,2,2,0.97,7_5,22,F,A,0
A,1,7,6,dominant,2,2,0.97,7_5,22,M,A,0
A,1,7,6,dominant,2,2,0.97,7_5,22,F,A,0
A,1,7,6,dominant,2,2,0.97,7_5,22,F,A,0
A,1,7,6,dominant,2,2,0.97,7_5,22,F,A,0
A,1,7,6,dominant,2,2,0.97,7_5,22,M,A,0
A,1,7,6,dominant,2,2,0.97,7_5,22,M,A,0
A,1,7,6,dominant,2,2,0.97,7_5,22,M,A,0
A,1,7,6,dominant,2,2,0.97,7_5,22,M,A,0
A,1,7,6,dominant,2,2,0.97,7_5,22,F,A,0
A,1,7,6,dominant,2,2,0.97,7_5,22,F,A,0
A,1,7,6,dominant,2,2,0.97,7_5,22,F,A,0
A,1,7,6,dominant,2,2,0.97,7_5,22,F,A,0
A,1,1,1,dominant,2,2,0.97,1_3,2,NA,H,1
A,1,7,6,dominant,2,2,0.97,7_5,22,NA,H,1
A,1,7,6,dominant,2,2,0.97,7_5,22,NA,H,1
A,1,7,6,dominant,2,2,0.97,7_5,22,NA,H,1
A,1,7,6,dominant,2,2,0.97,7_5,22,NA,H,1
A,1,7,6,dominant,2,2,0.97,7_5,22,NA,H,1
A,1,7,6,dominant,2,2,0.97,7_5,22,NA,H,1
A,1,7,6,dominant,2,2,0.97,7_5,22,NA,H,1
A,1,7,6,dominant,2,2,0.97,7_5,22,NA,H,1
A,1,7,6,dominant,2,2,0.97,7_5,22,NA,H,1
A,1,7,6,dominant,2,2,0.97,7_5,22,NA,H,1
A,1,1,1,even,3,3,0.41,1_4,3,F,A,0
A,1,1,1,even,3,3,0.41,1_4,3,M,A,0
